915527    	C00522599	Big Heart Pet Brands PAC	F1A	\N	Vocus PAC Management / Ver# 8.00.5825	\N	\N
932582    	C00541607	Romanoff for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
916490    	H4CA33135	Carr, Elan S. 	F2N	\N	NetFile / Ver# 199179	\N	\N
916794    	C00454132	Capital County PAC	F3XA	20140101 - 20140331	FECfile / Ver# 8.1.0.1(f29)	\N	\N
942758    	C00376665	Cooper for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
917095    	C00528075	First Capital PAC	F3XN	20140101 - 20140331	FECfile / Ver# 8.1.0.1(f29)	\N	\N
917439    	C00551309	Hughes for Congress	F3N	20140101 - 20140331	NGP / Ver# 3.0	\N	4
917580    	C00458679	BLAINE FOR CONGRESS	F1A	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
917649    	C00468868	ZP Action	F3XN	20140101 - 20140331	FECfile / Ver# 8.1.0.1(f29)	\N	\N
918623    	C00545152	GROW NC STRONG INC	F1N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	1
942888    	C00409797	Conyers for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
919380    	C00552422	Values are Vital	F24N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
919435    	C00513788	MORRIS, BRAD	F3T	20140101 - 20140331	FECfile / Ver# 8.1.0.0(f29)	\N	\N
919507    	C00509968	Cartwright for Congress	F3N	20140101 - 20140331	NGP / Ver# 3.0	\N	\N
919971    	C00510487	Ehrlich for Congress	F3N	20140101 - 20140331	NGP / Ver# 3.0	\N	\N
920669    	C00411579	ACTON PAC	F3XN	20140301 - 20140331	FECfile / Ver# 8.1.0.1(f29)	\N	\N
944167    	C00422980	Cohen for Congress	F6A	\N	NGP / Ver# 3.0	\N	\N
921114    	C00457697	MillerCoors LLC PAC	F3XN	20140301 - 20140331	FECFile / Ver# 8.1	\N	\N
921379    	C00147975	KidsPAC	F3XN	20140301 - 20140331	NGP / Ver# 3.0	\N	\N
921550    	C00492983	Nutmeg PAC	F3XN	20140301 - 20140331	NGP / Ver# 3.0	\N	\N
921648    	C00552422	Values are Vital	F24N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
921732    	C00374231	Rob Bishop for Congress	F6N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
922505    	C00195628	Price for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
923970    	C00497115	Rothfus for Congress	F6N	\N	ElecTek USA / Ver# 1.0	\N	\N
924085    	C00434191	Himes for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
924191    	C00466870	Pat Meehan for Congress	F6N	\N	CompleteCampaigns.com / Ver# 1.0	\N	\N
924326    	C00548255	MOLL FOR CONGRESS INC	F6N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
924453    	C00307314	Blumenauer for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
925291    	C00197228	WellPoint, Inc. WELLPAC	F3XN	20140401 - 20140430	FECFile / Ver# 8.1	\N	\N
925348    	C00544346	Put Alaska First	F24N	\N	NGP Campaign Office (R) / Ver# 6	\N	\N
925707    	C00497115	Rothfus for Congress	F6N	\N	ElecTek USA / Ver# 1.0	\N	\N
926485    	C00502294	SWALWELL FOR CONGRESS	F6N	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
926649    	C00065219	Wine Institute PAC	F3XN	20140401 - 20140430	NGP / Ver# 3.0	\N	1
929358    	C00187450	REPUBLICAN PARTY OF LOUISIANA	F99	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
929711    	C00550400	BIT PAC	F1A	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
929825    	C00379735	Cole for Congress	F6N	\N	Trail Blazer / Ver# 6.2.5269.28251	\N	\N
930405    	C00464032	Tom Reed for Congress	F6N	\N	CompleteCampaigns.com / Ver# 1.0	\N	\N
930540    	C00488403	Texas Patriots PAC	F99	\N	FECfile / Ver# 8.1.0.1(f29)	\N	\N
930728    	C00410639	Perlmutter for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
930835    	C00375618	TIM BISHOP FOR CONGRESS	F6N	\N	NGP / Ver# 3.0	\N	\N
948718    	C00161067	Harris County Democratic Party	F99	\N	NGP / Ver# 5.0	\N	\N
931292    	C00541607	Romanoff for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
932114    	C00024679	Vermont Democratic Party	F3XN	20140501 - 20140531	NGP / Ver# 3.0	\N	\N
932457    	C00290825	Nadler for Congress	F6N	\N	NGP / Ver# 3.0	\N	\N
932841    	C00386904	FaegreBD PAC	F3XA	20140301 - 20140331	FECfile / Ver# 8.1.0.1(f29)	\N	\N
933017    	C00484642	Senate Majority PAC	F24N	\N	NGP Campaign Office (R) / Ver# 6	\N	\N
933067    	C00213611	Louise Slaughter Re-Election Committee	F6N	\N	NGP / Ver# 3.0	\N	\N
